Provinsi,Tahun,Daging_Sapi_Ton
PAPUA,2006,2005.05
PAPUA,2007,2145
PAPUA,2008,2133
PAPUA,2009,2427
PAPUA,2010,2770
PAPUA,2011,2737
PAPUA,2012,2903
PAPUA,2013,2733
PAPUA,2014,2711
PAPUA,2015,2709.05
PAPUA,2016,3822.26
PAPUA,2017,3144.42
PAPUA,2018,2372.5
PAPUA,2019,3660.38
PAPUA,2020,3826.8
